ID,abc_sum_tonne_km2_2010,ID,bgc_sum_tonne_km2_2010,ID,abc_sum_tonne_km2_2050,ID,bgc_sum_tonne_km2_2050,ID,soc_sum,Name,abc_sum_tonne_km2_difference,abc_sum_tonne_km2_difference_annual,bgc_sum_tonne_km2_difference_annual
53,402122797.597534,53,407777215.25647,53,249967069.531136,53,260566988.073044,53,126665268.591064,Kasonso-Busanga,152155728.066399,3803893.20165997,3680255.67958567
54,4146339.90625,54,3287864.16008472,54,411250.901557922,54,310779.61750412,54,2160566.5847168,Sikumi,3735089.00469208,93377.2251173019,74427.1135645151
55,998681.407226562,55,1410285.84436774,55,360882.628669739,55,535094.850021362,55,883159.216064453,Kazuma,637798.778556824,15944.9694639206,21879.7748586595
56,982107.938232422,56,890482.390159369,56,121151.37588501,56,106219.503692627,56,343989.172851562,Fuller,860956.562347412,21523.9140586853,19606.5721616685
57,851829.456726074,57,1683177.25487351,57,81650.9328651428,57,161833.724136353,57,587343.896240234,NG/14 Wildlife Management Area,770178.523860931,19254.4630965233,38033.588268429
58,4318160.50579834,58,4033297.58788943,58,4372464.64347839,58,3911933.59658813,58,3622716.33105469,Chobe,-54304.1376800537,-1357.60344200134,3034.09978253245
59,135402.898376465,59,192207.279062271,59,12760.5087776184,59,18010.7734050751,59,136854.653564453,Kazuma,122642.389598846,3066.05973997116,4354.9126414299
60,261819.574890137,60,358899.975132942,60,47509.3337554932,60,82490.70079422,60,301391.247070312,Sibuyu,214310.241134644,5357.75602836609,6910.23185846806
61,115432.968261719,61,137439.278358221,61,9532.46350097656,61,13456.6257324219,61,44484.958984375,Nenyunka Wildlife Management Area,105900.504760742,2647.51261901855,3099.56631564498
62,631429.492797852,62,1234002.15200186,62,345449.807037354,62,676807.016357422,62,394924.307617188,Coutada,285979.685760498,7149.49214401245,13929.8783911109
63,82059595.1810913,63,133119308.336127,63,31189082.8327293,63,50618740.2609148,63,26012648.1276855,Luiana,50870512.348362,1271762.80870905,2062514.2018803
64,641194.382568359,64,917426.83737278,64,92567.2640399933,64,122350.21998024,64,590059.252929688,NG/13 Wildlife Management Area,548627.118528366,13715.6779632092,19876.9154348135
65,1022401.91760254,65,1631501.06171966,65,360706.917797089,65,481827.230880737,65,805181.087158203,NG/15 Wildlife Management Area,661694.99980545,16542.3749951363,28741.845770973
66,734125.104797363,66,737512.211722136,66,276572.07194519,66,307252.713623047,66,572097.135986328,Kasane,457553.032852173,11438.8258213043,10756.4874524772
67,310604.187866211,67,312452.424842119,67,74368.4314155579,67,72620.2077388763,67,220978.030273438,Maikaelo,236235.756450653,5905.89391126633,5995.80542758107
68,462784.780639648,68,708760.521233082,68,223060.144042969,68,382254.173171997,68,296531.318847656,NG/41 Wildlife Management Area,239724.63659668,5993.11591491699,8162.65870152712
69,598337.150146484,69,1039228.54363918,69,511033.486965179,69,947471.10647583,69,327546.868408203,CH/12,87303.6631813049,2182.59157953262,2293.93592908382
70,693197.723022461,70,751022.143644094,70,131216.029495239,70,139304.301345825,70,428367.077880859,NG/18 Wildlife Management Area,561981.693527222,14049.5423381805,15292.9460574567
71,4098818.240448,71,5541871.60539627,71,1659932.22180939,71,2389666.18023682,71,3083302.97680664,CT/1 Wildlife Management Area,2438886.01863861,60972.1504659653,78805.1356289864
72,3934149.67602539,72,5783046.00809813,72,847842.814023972,72,1176334.34285355,72,3248757.5234375,CT/2 Wildlife Management Area,3086306.86200142,77157.6715500355,115167.791631114
73,79946.9417724609,73,88437.4938488007,73,31413.4302368164,73,36079.8823852539,73,50644.6101074219,NG/19 Wildlife Management Area,48533.5115356445,1213.33778839111,1308.94028658867
74,64274.0946655273,74,72310.5965793133,74,86565.9090881348,74,88236.9859008789,74,67906.2819824219,NG/43 Wildlife Management Area,-22291.8144226074,-557.295360565186,-398.159733039141
75,0,75,0,75,0,75,0,75,0,CT/10 Wildlife Management Area,0,0,0
76,3655563.70068359,76,3878444.7001338,76,788898.110293388,76,779699.147434235,76,3614063.64208984,CT/3 Wildlife Management Area,2866665.59039021,71666.6397597551,77468.6388174891
77,56588.3177490234,77,53532.0473790169,77,18819.2069702148,77,18282.4893188477,77,59486.6335449219,NG/34 Wildlife Management Area,37769.1107788086,944.227769470215,881.23895150423
78,248540.396087646,78,334089.216995239,78,88656.0641517639,78,113311.993330002,78,388583.998779297,NG/47 Wildlife Management Area,159884.331935883,3997.10829839706,5519.43059163094
79,0,79,0,79,0,79,0,79,0,CT/5 Wildlife Management Area,0,0,0
80,0,80,0,80,0,80,0,80,0,CT/11 Wildlife Management Area,0,0,0
81,4612455.97155762,81,3289882.54012465,81,1390750.37482834,81,1073998.68933868,81,2496775.45751953,Forest Reserve Name Unknown (ZMB) No.101,3221705.59672928,80542.639918232,55397.0962696493
82,5369890.82006836,82,2941199.5683372,82,857507.931655884,82,455309.352394104,82,2348276.70458984,Machili,4512382.88841248,112809.572210312,62147.2553985775
83,7185949.27075195,83,6071613.31273913,83,6496313.83359528,83,6621631.36979675,83,3433517.36767578,Martin,689635.437156677,17240.8859289169,-13750.4514264405
84,863126.343200684,84,975421.518546343,84,1007974.64668274,84,1045152.07065582,84,762413.281982422,Forest Reserve Name Unknown (ZMB) No.87,-144848.303482056,-3621.20758705139,-1743.263802737
85,5935453.63256836,85,4835628.01713943,85,379919.164203644,85,297583.899253845,85,1952260.18261719,Zambezi,5555534.46836472,138888.361709118,113451.10294714
86,111756002.462219,86,106028174.217194,86,7840514.04008698,86,7213959.26587939,86,33792352.0231934,Hwange (Wankie),103915488.422132,2597887.21055331,2470355.37378287
87,177293.349853516,87,346225.371050835,87,29063.0211868286,87,50064.3197937012,87,191808.284912109,Kazuma Pan,148230.328666687,3705.75821666718,7404.02628142834
88,12777690.5899963,88,22300549.8613834,88,1551837.2761898,88,2560694.9098587,88,7969550.62548828,Matetsi,11225853.3138065,280646.332845163,493496.373788118
89,3891307.2902832,89,6782724.05409813,89,422282.343215942,89,742289.239944458,89,1565247.8828125,Deka,3469024.94706726,86725.6236766815,151010.870353842
90,29151719.2322998,90,30136804.461962,90,5178723.58307457,90,5517760.33156395,90,8537415.43408203,Chobe,23972995.6492252,599324.891230631,615476.103259951
91,872530.931762695,91,1625865.48895836,91,55702.5246486664,91,96934.5019683838,91,363250.733886719,NG/48,816828.407114029,20420.7101778507,38223.2746747494
92,91462.6982421875,92,186158.64995122,92,14364.0702056885,92,29062.8800048828,92,32466.8171386719,NG/48,77098.628036499,1927.46570091248,3927.39424865842
93,0,93,0,93,0,93,0,93,0,Makgadikgadi,0,0,0
94,1479653.27075195,94,1649134.89188552,94,1780642.74145508,94,2132646.3927002,94,877023.970703125,Nkala,-300989.470703125,-7524.73676757813,-12087.7875203669
95,329172.036132812,95,516171.602618694,95,84347.7686462402,95,133395.103881836,95,222844.103027344,Bilili Springs,244824.267486572,6120.60668716431,9569.41246842146
96,29983670.8200378,96,26347079.0181279,96,10219164.7821884,96,9678930.11852264,96,15320894.6337891,Mulobezi,19764506.0378494,494112.650946236,416703.722490132
97,20954116.635498,97,21595250.0991106,97,7030226.07667923,97,7643562.38780594,97,16747866.5529785,Sioma Ngwezi,13923890.5588188,348097.26397047,348792.192782617
98,76603.8302001953,98,126785.78915,98,13076.4017028809,98,18477.5557861328,98,71563.9396972656,NG/16 Wildlife Management Area,63527.4284973145,1588.18571243286,2707.70583409667
99,450876.12902832,99,563163.02241683,99,95356.98878479,99,118002.149719238,99,515202.725341797,NG/20 Wildlife Management Area,355519.14024353,8887.97850608826,11129.0218174398
100,14881198.1894531,100,24318303.4629822,100,1143339.27770615,100,1878038.09860229,100,4430776.484375,NG/24 Wildlife Management Area,13737858.911747,343446.472793674,561006.634109497
101,4424517.1809082,101,8598298.58395457,101,303288.89515686,101,592299.896057129,101,1609988.23730469,NG/23 Wildlife Management Area,4121228.28575134,103030.707143784,200149.967197436
102,11493862.4464111,102,21034835.8317733,102,1492156.29296875,102,2710882.88973999,102,3455693.69482422,NG/25 Wildlife Management Area,10001706.1534424,250042.65383606,458098.823550832
103,1313814.48095703,103,2518237.51078844,103,202705.701080322,103,383032.163330078,103,613593.856201172,NG/26 Wildlife Management Area,1111108.77987671,27777.7194969177,53380.1336864591
104,706862.899353027,104,1241044.48488951,104,237503.056243896,104,399825.34942627,104,793677.043212891,NG/32 Wildlife Management Area,469359.843109131,11733.9960777283,21030.4783865809
105,1276284.63037109,105,2444356.88178539,105,561704.405059814,105,1069398.73217773,105,890156.077148438,NG/30 Wildlife Management Area,714580.225311279,17864.505632782,34373.9537401915
106,1798725.94519043,106,3128452.34169364,106,116017.136199951,106,197719.534103394,106,840095.075195312,NG/21 Wildlife Management Area,1682708.80899048,42067.720224762,73268.3201897562
107,331278.829101562,107,532735.698723793,107,130725.18637085,107,211338.710205078,107,297722.489746094,NG/31 Wildlife Management Area,200553.642730713,5013.84106826782,8034.92471296787
108,1185469.51635742,108,1952752.06649899,108,567170.609375,108,909443.891418457,108,748995.831542969,NG/29 Wildlife Management Area,618298.906982422,15457.4726745605,26082.7043770134
109,769866.016845703,109,307381.861436367,109,272328.918212891,109,120168.933670044,109,349707.082519531,Kazanamena,497537.098632812,12438.4274658203,4680.32319415808
110,10256417.6557312,110,12797605.8111191,110,1430039.65003395,110,1923693.4486599,110,6452369.91674805,Bwabwata,8826378.00569725,220659.450142431,271847.80906148
111,20303.7349853516,111,27971.7860817909,111,940.673758029938,111,814.938965797424,111,40823.640625,Muduva Nyangana,19363.0612273216,484.076530683041,678.921177899838
112,474526.072021484,112,629000.009608269,112,37835.8478527069,112,55709.6845245361,112,384682.281738281,Mayuni,436690.224168777,10917.2556042194,14332.2581270933
113,931751.478210449,113,1286570.04566193,113,129665.968679428,113,163366.177932739,113,1040153.36865234,Bamunu,802085.509531021,20052.1377382755,28080.0966932297
114,1528073.10418701,114,2157491.24318957,114,166448.843961716,114,224230.008426666,114,1276645.23193359,Mashi,1361624.2602253,34040.6065056324,48331.5308690727
115,609454.137268066,115,720124.804890156,115,84121.9536781311,115,103327.96647644,115,474486.929443359,Kwandu,525332.183589935,13133.3045897484,15419.9209603429
116,1347828.87597656,116,1714403.4160614,116,248633.275146484,116,349543.835327148,116,382737.364257812,Impalila,1099195.60083008,27479.890020752,34121.4895183563
117,45924.2814941406,117,67259.624093771,117,6361.86758422852,117,8918.4306640625,117,54532.494140625,Sikunga,39562.4139099121,989.060347747803,1458.52983574271
118,670160.912231445,118,1218494.98824477,118,55294.5570163727,118,96913.0731277466,118,413400.503417969,Balyerwa,614866.355215073,15371.6588803768,28039.5478779256
119,201774.930786133,119,348365.807980299,119,14999.745552063,119,23674.6230392456,119,217042.314453125,Wuparo,186775.18523407,4669.37963085175,8117.27962352633
120,695333.512573242,120,1190783.75418186,120,88522.5333480835,120,139563.046234131,120,493442.146240234,Dzoti,606810.979225159,15170.274480629,26280.5176986933
121,66227.1372070312,121,56160.2445602417,121,8807.34092712402,121,7412.24307250977,121,117925.810058594,Kabulabula,57419.7962799072,1435.49490699768,1218.7000371933
122,662717.673095703,122,828544.065320492,122,92101.0691223145,122,115599.482315063,122,629803.206542969,Masida,570616.603973389,14265.4150993347,17823.6145751357
123,91166.9194335938,123,99342.1862244606,123,27852.4196166992,123,28684.2034912109,123,60367.462890625,Zilitene,63314.4998168945,1582.86249542236,1766.44956833124
124,7454048.13562012,124,7041146.37949467,124,812735.343035698,124,775049.490375519,124,5139986.38452148,Caprivi,6641312.79258442,166032.81981461,156652.422227979
125,97212.3984375,125,53281.5680503845,125,23747.8627929688,125,13016.0700683594,125,21120.8862304688,Burunge WMA,73464.5356445312,1836.61339111328,1006.63744955063
126,1807.74108886719,126,1268.11690330505,126,1474.31091308594,126,1034.21813964844,126,3243.61181640625,NG/33 Wildlife Management Area,333.43017578125,8.33575439453125,5.84746909141541
127,1043004.65478516,127,1429433.05649161,127,0,127,0,127,592966.015380859,Malipati,1043004.65478516,26075.1163696289,35735.8264122903
128,32192.5810546875,128,38540.4138565063,128,2118.08764648438,128,2535.73870849609,128,8244.546875,Vembe Private Nature Reserve,30074.4934082031,751.862335205078,900.116878700256
129,777512.209106445,129,1094257.56168365,129,69073.5979652405,129,103934.265459061,129,459405.211181641,CH/11,708438.611141205,17710.9652785301,24758.0824056149
130,2113461.28631592,130,3192047.92575836,130,732545.580123901,130,1003642.98094177,130,1737764.5078125,NG/42 Wildlife Management Area,1380915.70619202,34522.8926548004,54710.1236204147
131,25988684.8571167,131,29694596.5590239,131,4252917.42319679,131,5261717.0415659,131,11526997.6894531,Chizarira,21735767.4339199,543394.185847998,610821.987936449
132,10319859.001709,132,8105678.95886302,132,12153682.6273193,132,9724595.83508301,132,3244346.2578125,Liuwa Plain,-1833823.62561035,-45845.5906402588,-40472.9219054997
133,11896321.3127441,133,12009539.0997171,133,15238744.6525726,133,16896908.1055908,133,8627623.00415039,Sichifula,-3342423.33982849,-83560.5834957123,-122184.225146842
134,2110171.38378906,134,3905267.87189841,134,158946.464874268,134,290443.848205566,134,868364.756835938,NG/22 Wildlife Management Area,1951224.91891479,48780.6229728699,90370.6005923212
135,2548126.53723145,135,4995396.37037516,135,351530.580505371,135,686148.612670898,135,994666.802734375,NG/27A Wildlife Management Area,2196595.95672607,54914.8989181519,107731.193942606
136,169088.153808594,136,225138.775193691,136,70342.3338928223,136,92754.0073852539,136,153811.077148438,NG/17 Wildlife Management Area,98745.8199157715,2468.64549789429,3309.61919521093
137,602633.764892578,137,1206565.98988771,137,159760.93182373,137,320781.661132812,137,317098.231445312,NG/27B Wildlife Management Area,442872.833068848,11071.8208267212,22144.6082188725
138,914531.453735352,138,1102564.63309526,138,311186.21232605,138,322585.230560303,138,644677.366210938,Salambala,603345.241409302,15083.6310352325,19499.485063374
139,43325674.1890869,139,73567930.2721262,139,5491771.26207829,139,9425885.7046051,139,13953385.3342285,Moremi Game Reserve,37833902.9270086,945847.573175216,1603551.11418803
140,155871.444091797,140,260641.059780121,140,10452.9524536133,140,18215.7448196411,140,156831.263427734,George Mukoya,145418.491638184,3635.46229095459,6060.63287401199
141,1769912.56347656,141,2437926.8614769,141,303005.406524658,141,419998.175720215,141,724622.911621094,Kasika,1466907.1569519,36672.6789237976,50448.2171439171
142,0,142,0,142,0,142,0,142,0,Shamungwa,0,0,0
143,408561.740234375,143,136250.049853325,143,0,143,0,143,224298.973632812,Kilimanjaro,408561.740234375,10214.0435058594,3406.25124633312
144,684357.448242188,144,251459.836518764,144,33446.2468566895,144,12352.6146087646,144,314307.759765625,Lake Manyara National Park,650911.201385498,16272.7800346375,5977.68054775
145,0,145,0,145,0,145,0,145,0,Lumo,0,0,0
146,195339.057922363,146,287655.969899893,146,0,146,0,146,143053.189941406,Mucheve,195339.057922363,4883.47644805908,7191.39924749732
147,22414.4721679688,147,32581.044870615,147,0,147,0,147,12480.5380859375,Letaba Ranch Tribal Section,22414.4721679688,560.361804199219,814.526121765375
148,694600.030151367,148,601439.825236797,148,33541.2021484375,148,28953.3595838547,148,245297.072265625,Simchembo,661058.82800293,16526.4707000732,14312.1616413236
149,231487.419921875,149,324981.413161755,149,12636.1918945312,149,18119.5287475586,149,83351.1879882812,Sinampande,218851.228027344,5471.28070068359,7671.5471103549
150,144652.680664062,150,99621.4011728764,150,8616.57543945312,150,6043.19454956055,150,51342.453125,Nabusenga Wildlife Management Area,136036.105224609,3400.90263061523,2339.4551655829
151,275894.6484375,151,252416.577684879,151,37037.7929077148,151,36699.0001220703,151,102199.361816406,Sinansengwe,238856.855529785,5971.42138824463,5392.93943907022
152,1214553.73876953,152,1136334.95316505,152,0,152,0,152,765523.745117188,Ukutu WMA,1214553.73876953,30363.8434692383,28408.3738291264
153,6251502.87695312,153,1864525.22963285,153,0,153,0,153,1729348.45068359,Mwanihana,6251502.87695312,156287.571923828,46613.1307408214
154,8455013.23046875,154,2111441.83727503,154,0,154,0,154,1668275.90966797,Matundu,8455013.23046875,211375.330761719,52786.0459318757
155,4417784.66015625,155,1236499.92763996,155,0,155,0,155,925700.685546875,Iwonde,4417784.66015625,110444.616503906,30912.498190999
156,91285834.7266235,156,56219218.2166696,156,0,156,0,156,23005920.5695801,Ngindo,91285834.7266235,2282145.86816559,1405480.45541674
157,1967605.12280273,157,596900.733584166,157,0,157,0,157,2439830.91259766,Rutshuru,1967605.12280273,49190.1280700684,14922.5183396041
158,1038631.51184082,158,2150639.828825,158,0,158,0,158,449546.122802734,Sabie Sands Private Nature Reserve,1038631.51184082,25965.7877960205,53765.9957206249
159,17872789.9018555,159,13172743.6404228,159,1410211.64673138,159,1066988.05327535,159,7179280.76074219,Mkamba,16462578.2551241,411564.456378102,302643.889678687
160,3411019.13525391,160,3772775.95748901,160,142597.781593323,160,160772.820877075,160,1777092.85742188,Mhangalla,3268421.35366058,81710.5338415146,90300.0784152985
161,347565.940246582,161,554300.021582842,161,40663.5094795227,161,65483.2063064575,161,385737.145019531,Mudumu,306902.430767059,7672.56076917648,12220.4203819096
162,1272586.19354248,162,2429157.79520273,162,70973.8733100891,162,136399.499095917,162,1062366.37817383,Mamili,1201612.32023239,30040.3080058098,57318.9574026704
163,0,163,0,163,0,163,0,163,0,Mille-Sardo,0,0,0
164,5670111.36035156,164,1570940.12008905,164,0,164,0,164,1031142.16748047,Kichi Hills,5670111.36035156,141752.784008789,39273.5030022264
165,13977851.6072998,165,6932373.61643314,165,0,165,0,165,4689552.15869141,Kichi Hills,13977851.6072998,349446.290182495,173309.340410829
166,5161788.15454102,166,2694591.37096405,166,0,166,0,166,1540830.01416016,Kilombero GCA,5161788.15454102,129044.703863525,67364.7842741013
167,942858882.674408,167,586706900.610209,167,0,167,0,167,268468903.574707,Ngindo,942858882.674408,23571472.0668602,14667672.5152552
168,67812967.75,168,43972016.8726981,168,0,168,0,168,19819623.2348633,Nyera Kiperere,67812967.75,1695324.19375,1099300.42181745
169,5686270.94506836,169,7012803.02439332,169,0,169,0,169,2149861.55859375,Lukwika-Lumesule G.R.,5686270.94506836,142156.773626709,175320.075609833
170,57081752.7592773,170,23900946.0266292,170,28076925.8548889,170,11949905.8237915,170,9156426.16381836,Chunya O.A (E),29004826.9043884,725120.672609711,298776.005070943
171,37029102.6430664,171,16890290.6049907,171,0,171,0,171,8439235.74169922,Mwantisi O.A (S),37029102.6430664,925727.56607666,422257.265124768
172,51085102.9763184,172,29417270.896858,172,0,172,0,172,13086213.4335938,Mwantisi O.A. (N) and Furua,51085102.9763184,1277127.57440796,735431.772421449
173,33592994.5151367,173,14776788.4743273,173,0,173,0,173,6523210.13720703,Litumbandyosi O.A./Gezamasua F.R.,33592994.5151367,839824.862878418,369419.711858183
174,73165320.1678467,174,28975745.7992136,174,0,174,0,174,17629229.4135742,Mahenge O.A.,73165320.1678467,1829133.00419617,724393.644980341
175,57452734.2911072,175,57131315.7061398,175,0,175,0,175,18167364.0766602,Bloco A Luwiri,57452734.2911072,1436318.35727768,1428282.8926535
176,39410661.546875,176,14922797.2035408,176,0,176,0,176,12095954.4907227,West Kilombero Scarp,39410661.546875,985266.538671875,373069.93008852
177,72928550.980957,177,29734166.4110482,177,0,177,0,177,20277599.8530273,Mwanihana,72928550.980957,1823213.77452393,743354.160276204
178,10259869.5821533,178,7309982.59311318,178,0,178,0,178,3342040.34912109,Mitarure,10259869.5821533,256496.739553833,182749.56482783
179,2064849.16552734,179,1118322.18956947,179,0,179,0,179,602117.502441406,Mitundumbea,2064849.16552734,51621.2291381836,27958.0547392368
180,11048385.0322266,180,5745618.39845777,180,0,180,0,180,2553222.46972656,Ngarama North,11048385.0322266,276209.625805664,143640.459961444
