ID,abc_sum_tonne_km2_2010,ID,bgc_sum_tonne_km2_2010,ID,abc_sum_tonne_km2_2050,ID,bgc_sum_tonne_km2_2050,ID,soc_sum,Name,abc_sum_tonne_km2_difference_annual,bgc_sum_tonne_km2_difference_annual
102,1190043.33239746,102,1946438.30102539,102,134024.114120007,102,206767.841133118,102,754836.843261719,CH/1 & CH/2,26400.4804569364,43491.7614973068
103,742528.794921875,103,1115273.84667969,103,65242.5568878651,103,107486.832803726,103,350614.396118164,CH/11,16932.1559508502,25194.675346899
104,584974.715332031,104,1033280.89404297,104,501709.371829033,104,914256.037948608,104,251146.008666992,CH/12,2081.63358757496,2975.62140235901
105,434216.296936035,105,565511.521606445,105,49421.2629616261,105,64713.4444847107,105,241779.935668945,CH/5 & CH/8,9619.87584936023,12519.9519280434
106,201340.536865234,106,123956.527709961,106,30521.9074964523,106,18593.6570129395,106,197210.19921875,Chala Hills,4270.46573421955,2634.07176742554
107,168758.440429688,107,135318.96484375,107,0,107,0,107,59255.0263671875,Chamanyani,4218.96101074219,3382.97412109375
108,852188.661865234,108,1406996.0684967,108,124153.715366125,108,131784.669677734,108,340116.526855469,Chambeshi,18200.8736624777,31880.2849704742
109,812574.024414062,109,371429.987792969,109,0,109,0,109,292922.643066406,Chambogo,20314.3506103516,9285.74969482422
110,940828.216308594,110,467460.292236328,110,0,110,0,110,295699.690917969,Changandu,23520.7054077148,11686.5073059082
111,3850309.78796387,111,5048483.4519043,111,597246.60345912,111,707482.567260742,111,1123940.35791016,Chapoto Wildlife Management Area,81326.5796126187,108525.022116089
112,24496304.487915,112,37731628.7542114,112,9754999.70410466,112,14955374.1153107,112,8190623.7434082,Charara,368532.619595259,569406.365972519
113,135975395.266357,113,135205256.541382,113,38731745.4863727,113,44177488.703475,113,24745707.8742676,Chawalo,2431091.24449962,2275694.19594767
114,13210876.6855469,114,14793361.7011719,114,3300375.29179454,114,3843537.97850037,114,3544813.38476562,Chaya,247762.534843808,273745.593066788
115,353505.77734375,115,486423.564941406,115,415418.201690912,115,572941.153076172,115,95192.65234375,Chelbi,-1547.81060867906,-2162.93970336914
116,0,116,0,116,0,116,0,116,0,Chemi chemi,0,0
117,6628322.46777344,117,9012777.11132812,117,433130.828297138,117,688586.365722656,117,1338094.69897461,Chenene East,154879.790986907,208104.768640137
118,50950463.8054199,118,70775524.175293,118,26134976.6059995,118,37799103.5849228,118,14513554.6010742,Chewore,620387.179985511,824410.514759254
119,49761391.4755859,119,25353561.5383301,119,44595372.9903579,119,23303725.0390625,119,7645378.34472656,Chiawa,129150.462130702,51245.9124816895
120,9258442.87988281,120,9681058.60644531,120,0,120,0,120,2749087.64013672,Chibavahlengwe,231461.07199707,242026.465161133
121,108063.129882812,121,127196.017089844,121,0,121,0,121,65700.4145507812,Chibwedziva,2701.57824707031,3179.90042724609
122,58027331.3398438,122,28198117.9257812,122,15036467.0799732,122,8254443.63818359,122,6156681.51757812,Chibwika-Ntambu,1074771.60649676,498591.857189941
123,241878.830078125,123,96631.8735351562,123,0,123,0,123,82108.97265625,Chilangala,6046.97075195312,2415.79683837891
124,4641473.42822266,124,2304522.03515625,124,3001049.00171757,124,1536913.72045898,124,1473141.21386719,Chimala Scarp,41010.6106626272,19190.2078674316
125,1846410.78320312,125,1087636.87988281,125,1135820.81125975,125,835913.713439941,125,358053.405273438,Chimukoko,17764.7492985845,6293.07916107178
126,8207090.62207031,126,13939534.9003906,126,1419723.8029778,126,2448139.09423828,126,1440726.6862793,Chinene West,169684.170477313,287284.895153809
127,810315818.577637,127,364534593.242676,127,785092357.788122,127,352643054.923218,127,100154077.106201,Chinko,630586.519737875,297288.45798645
128,5040765.45556641,128,7291123.22021484,128,0,128,0,128,1586245.74902344,Chipise,126019.13638916,182278.080505371
129,12282411.1101074,129,16363301.395874,129,3356513.50767612,129,4588630.20612717,129,5115604.51318359,Chirisa,223147.440060782,294366.779743671
130,357102.76953125,130,652025.760742188,130,93914.8240506649,130,167170.392150879,130,84738.7409667969,Chiriwo Wildlife Management Area,6579.69863701463,12121.3842147827
131,929236.854492188,131,566093.577880859,131,629921.081376076,131,395476.853637695,131,170646.928710938,Chisomo,7482.89432790279,4265.4181060791
132,101262508.467773,132,63599663.0476074,132,24043030.5042207,132,12128027.1660156,132,17436042.5095215,Chisomo,1930486.94908882,1286790.89703979
133,13490026.5712891,133,21887351.2944336,133,907961.498743296,133,1462016.38705063,133,2648020.21679688,Chisunga Wildlife Management Area,314551.626813644,510633.372684574
134,523412.935058594,134,216906.225585938,134,0,134,0,134,104527.293701172,Chitoa,13085.3233764648,5422.65563964844
135,529234.316894531,135,703349.526855469,135,0,135,0,135,178999.592773438,Chitsa Wildlife Management Area,13230.8579223633,17583.7381713867
136,76573110.4443359,136,24511754.9726562,136,69145639.8127794,136,22115855.2958984,136,6301894.06835938,Chiwika Ntambu,185686.765788913,59897.4919189453
137,25870038.9678955,137,29689646.7230225,137,4365364.96611238,137,5224297.73491478,137,8638396.38256836,Chizarira,537616.850044578,611633.724702692
138,90606263.1630859,138,35871138.6459961,138,61792275.0371099,138,24857300.795166,138,8325749.36914062,Chizera,720349.703149402,275345.946270752
139,448371.216796875,139,240010.500976562,139,285439.153915644,139,155755.213623047,139,48398.3967285156,Chizera,4073.30157203078,2106.38218383789
140,28460208.0650635,140,30053610.8421631,140,5005290.15955329,140,5478423.33044815,140,6438575.59484863,Chobe,586372.947637755,614379.687792873
141,28460208.0650635,141,30053610.8421631,141,5005290.15955329,141,5478423.33044815,141,6438575.59484863,Chobe,586372.947637755,614379.687792873
142,4249559.97839355,142,3976529.07476807,142,4312128.8646102,142,3828891.43490601,142,2771700.24951172,Chobe,-1564.22215541601,3690.94099655151
143,4249559.97839355,143,3976529.07476807,143,4312128.8646102,143,3828891.43490601,143,2771700.24951172,Chobe,-1564.22215541601,3690.94099655151
144,4911291.26367188,144,1571065.58691406,144,0,144,0,144,1725136.06445312,Chome,122782.281591797,39276.6396728516
145,52286.87890625,145,15140.0297851562,145,0,145,0,145,19452.2333984375,Chongweni,1307.17197265625,378.500744628906
146,3712560.08642578,146,4829446.52246094,146,1526541.52930975,146,2142689.38757324,146,793351.459960938,Chumwa Range,54650.4639279008,67168.9283721924
147,57308288.5444336,147,23884635.5341797,147,28228228.0371785,147,11916965.1957397,147,6756789.8269043,Chunya E,727001.512681377,299191.758460999
148,98477316.0527344,148,40026829.7011719,148,28164068.3610916,148,11242162.1092834,148,10609977.0058594,Chunya Lukwati,1757831.19229107,719616.689797211
149,51637439.5014648,149,23183791.0574951,149,13120845.299381,149,5686173.34342194,149,6785568.40234375,Chunya Msami,962914.855052096,437440.44285183
150,47786.802734375,150,29631.580078125,150,18309.9349498749,150,11353.6015625,150,8045.98120117188,Chunya Msami,736.921694612503,456.949462890625
151,68065.736328125,151,22290.533203125,151,41100.2896428108,151,13459.7438964844,151,33294.501953125,Chuvwi,674.136167132854,220.769732666016
152,2003932.70581055,152,2898088.72460938,152,0,152,0,152,916022.8125,Chyulu,50098.3176452637,72452.2181152344
153,10817598.1730957,153,9338536.53161621,153,0,153,0,153,3727746.33105469,Chyulu Hills,270439.954327393,233463.413290405
154,647282.106201172,154,1231329.10327148,154,356206.790667772,154,674519.620361328,154,287333.822509766,Coutada,7276.88288833499,13920.2370727539
155,25360777.6989746,155,18408662.1164551,155,4883314.47390914,155,4318478.83444214,155,6423650.70068359,Coutada 15,511936.580626637,352254.582050323
156,60170290.9324951,156,36069439.5942383,156,0,156,0,156,13310281.0397949,Coutada 4,1504257.27331238,901735.989855957
157,70816735.6308861,157,53078921.9747276,157,0,157,0,157,27729082.5004883,Coutada 5,1770418.39077215,1326973.04936819
158,79355337.057373,158,119785878.534424,158,32859598.4056234,158,47361871.108902,158,21157960.7270508,Coutada 7,1162393.46629374,1810600.18563805
159,3038162.25585938,159,2138651.14819336,159,0,159,0,159,1748432.23730469,Coutada 8,75954.0563964844,53466.278704834
160,56394531.640625,160,22512936.5615234,160,0,160,0,160,9029136.78100586,Coutada N. 11,1409863.29101562,562823.414038086
161,109063247.716797,161,32321093.9731445,161,0,161,0,161,12538225.8413086,Coutada N. 12,2726581.19291992,808027.349328613
162,69880989.3823242,162,70002259.7565918,162,48500658.0656648,162,47314219.7487793,162,18239543.6430664,Coutada Official N. 9,534508.282916486,567201.000195313
163,121940240.370117,163,118828623.926514,163,94455243.7921941,163,92574500.2662354,163,31002446.9660645,Coutada official N.13,687124.914448077,656353.091506958
164,58187384.5690918,164,29320213.284668,164,0,164,0,164,13243610.572998,Coutada Oficial N. 10,1454684.61422729,733005.332116699
165,8499813.47314453,165,10284157.5905762,165,0,165,0,165,3653512.24560547,Coutada Oficial N. 14,212495.336828613,257103.939764404
166,0,166,0,166,0,166,0,166,0,Crescent Island,0,0
167,4021248.05102539,167,5438003.68395996,167,1617825.18067956,167,2333203.39792633,167,2261534.43615723,CT/1 Wildlife Management Area,60085.5717586458,77620.0071508408
168,0,168,0,168,0,168,0,168,0,CT/10 Wildlife Management Area,0,0
169,0,169,0,169,0,169,0,169,0,CT/11 Wildlife Management Area,0,0
170,3854457.64978027,170,5714374.15219116,170,833361.687928438,170,1169306.397789,170,2361973.38793945,CT/2 Wildlife Management Area,75527.3990462959,113626.693860054
171,3566243.16162109,171,3771971.09243774,171,767942.082828283,171,772714.53958416,171,2628310.97094727,CT/3 Wildlife Management Area,69957.5269698203,74981.4138213396
172,0,172,0,172,0,172,0,172,0,CT/5 Wildlife Management Area,0,0
173,1624584.16015625,173,465806.768554688,173,0,173,0,173,431988.157226562,Dabaga New,40614.6040039062,11645.1692138672
174,7501342.52880859,174,11346475.065918,174,495250.424361229,174,794423.265136719,174,1883039.0012207,Dande,175152.302611184,263801.295019531
175,3739871.05493164,175,6595760.55664062,175,403092.878961563,175,717333.332641602,175,1182101.08056641,Deka,83419.4543992519,146960.680599976
176,1209869.19335938,176,488896.292480469,176,0,176,0,176,299181.415527344,Derema,30246.7298339844,12222.4073120117
177,10186253.053772,177,20461254.3095093,177,1255476.0432899,177,2166762.18854094,177,9413735.83569336,Dinder,223269.425262052,457362.303024209
178,115727.741210938,178,71781.3256835938,178,0,178,0,178,52072.3002929688,Dindili,2893.19353027344,1794.53314208984
179,17368.12890625,179,4998.9443359375,179,0,179,0,179,6982.9150390625,Disalasala,434.20322265625,124.973608398438
180,205877.780273438,180,287424.141601562,180,0,180,0,180,57280.6357421875,Dite 2,5146.94450683594,7185.60354003906
181,3134763.2288208,181,5472181.75396729,181,682871.465998888,181,1201917.33763361,181,2529822.54980469,Djona,61297.2940705478,106756.610408342
182,0,182,0,182,0,182,0,182,0,Dodoma Reservoir,0,0
183,10066100.2182617,183,6328149.17303467,183,0,183,0,183,2989944.64550781,Dodori,251652.505456543,158203.729325867
184,13711680.3657227,184,12679146.6772461,184,9300818.82222295,184,8776127.37454224,184,3996039.79003906,Doma,110271.538587493,97575.4825675964
185,3737820.58666992,185,2973984.85693359,185,746970.449781418,185,587322.255493164,185,875666.655761719,Doro,74771.2534222126,59666.5650360107
186,0,186,0,186,0,186,0,186,0,Doro nawas,0,0
187,196797.076293945,187,198105.72076416,187,0,187,0,187,70240.1850585938,Dzidzela,4919.92690734863,4952.643019104
188,661870.894165039,188,1076972.31982422,188,86445.3484237194,188,129413.1065979,188,360373.448242188,Dzoti,14385.638643533,23688.980330658
189,229960932.254395,189,86625156.762207,189,170403129.80321,189,65545162.0383301,189,20653788.4370117,East Lunga,1488945.0612796,526999.868096924
190,743920.787597656,190,975890.440063477,190,2046908.37657452,190,2568575.609375,190,376750.393554688,Eastern Hararghe (Harar-Wabi Shebelle),-32574.6897244215,-39817.1292327881
191,0,191,0,191,0,191,0,191,0,Ehirovipuka,0,0
192,0,192,0,192,0,192,0,192,0,Eiseb,0,0
193,78245.0388183594,193,141647.754394531,193,25105.357003212,193,45816.6081542969,193,80124.0981445312,Elangata Wuas,1328.49204537868,2395.77865600586
194,9895.96215820312,194,22278.1025390625,194,0,194,0,194,22016.2001953125,Elerai,247.399053955078,556.952563476563
195,0,195,0,195,0,195,0,195,0,Enkusero Sampu,0,0
196,162318.235473633,196,53869.041229248,196,194193.39222312,196,65442.6384277344,196,187266.792480469,Enonkishu,-796.878918737173,-289.339929962158
197,0,197,0,197,0,197,0,197,0,Epupa,0,0
198,0,198,0,198,0,198,0,198,0,Eselenkei,0,0
199,591189.901855469,199,255526.079223633,199,187080.350643396,199,85641.6823730469,199,479459.886230469,Essimingor,10102.7387803018,4247.10992126465
200,0,200,0,200,0,200,0,200,0,Etanga,0,0
201,0,201,0,201,0,201,0,201,0,Etendeka,0,0
202,1373625.34960938,202,2187241.15332031,202,179380.759996176,202,295351.053222656,202,324176.824707031,Etosha,29856.11474033,47297.2525024414
203,47730207.6728516,203,43758390.2304688,203,14089512.4732852,203,13296472.8091049,203,11139000.4370117,Faro,841017.379989159,761547.935534096
204,18039942.9150391,204,12614058.9699707,204,10562257.7807605,204,7392508.48748779,204,3226442.57373047,Faro-Coron,186942.128356963,130538.762062073
205,34328002.9257812,205,25525190.6494141,205,18169395.8209395,205,13432791.3008118,205,6650059.94213867,Faro-Ouest,403965.177621043,302309.983715057
206,20899.6865234375,206,19090.787109375,206,16542.4907684326,206,15079.5493164062,206,14204.1030273438,Fonera,108.929893875122,100.280944824219
207,494986.197509766,207,175382.608825684,207,0,207,0,207,487773.168945312,Forest Reserve Name Unknown (TZA) (Mangrove) No.10,12374.6549377441,4384.56522064209
208,0,208,0,208,0,208,0,208,0,Forest Reserve Name Unknown (TZA) (Mangrove) No.18,0,0
209,103899.966430664,209,148242.627685547,209,0,209,0,209,67197.1284179688,Forest Reserve Name Unknown (TZA) (Mangrove) No.19,2597.4991607666,3706.06569213867
210,4540196.99438477,210,3293383.3270874,210,1391959.60084796,210,1115136.74794769,210,1822412.10180664,Forest Reserve Name Unknown (ZMB) No.101,78705.9348384202,54456.1644784927
211,7761688.5625,211,2915849.62207031,211,7678895.21664381,211,2885903.92871094,211,789188.492919922,Forest Reserve Name Unknown (ZMB) No.64,2069.83364640474,748.642333984375
212,2081091.53417969,212,1282532.94335938,212,1340410.68267822,212,839760.437011719,212,294816.505371094,Forest Reserve Name Unknown (ZMB) No.76,18517.0212875366,11069.3126586914
213,6169828.37304688,213,3425171.52148438,213,4381367.26529002,213,2422253.6796875,213,875291.145996094,Forest Reserve Name Unknown (ZMB) No.79,44711.5276939213,25072.9460449219
214,6169828.37304688,214,3425171.52148438,214,4381367.26529002,214,2422253.6796875,214,875291.145996094,Forest Reserve Name Unknown (ZMB) No.79,44711.5276939213,25072.9460449219
215,53773848.0026855,215,37429221.6425781,215,35001965.449059,215,23391988.9533691,215,9140271.90161133,Forest Reserve Name Unknown (ZMB) No.79,469297.063840663,350930.817230225
216,53773848.0026855,216,37429221.6425781,216,35001965.449059,216,23391988.9533691,216,9140271.90161133,Forest Reserve Name Unknown (ZMB) No.79,469297.063840663,350930.817230225
